developer_name,metacritic_avg,rating_avg,discrepancy_score,game_count,biggest_hit,biggest_miss
Hothouse Creations,30.0,4.17,4.92,1,Crime Life: Gang Wars,Crime Life: Gang Wars
KEMCO,24.0,3.58,4.05,1,Batman Beyond: Return of the Joker,Batman Beyond: Return of the Joker
h.a.n.d.,54.0,4.46,3.25,1,Flower Sun and Rain: Murder and Mystery in Paradise,Flower Sun and Rain: Murder and Mystery in Paradise
Big Ape Productions,32.0,3.43,2.88,1,The Simpsons Wrestling,The Simpsons Wrestling
CDV Software,45.0,3.92,2.8,1,Hard Truck: Apocalypse,Hard Truck: Apocalypse
HyperBole Studios,56.0,4.31,2.67,1,The X-Files Game,The X-Files Game
Bandai,42.0,3.74,2.65,1,Digimon World 2,Digimon World 2
Human Entertainment,49.0,4.0,2.6,1,Clock Tower: Ghost Head,Clock Tower: Ghost Head
Cellius,44.0,3.78,2.55,1,RIDGE RACER (2012),RIDGE RACER (2012)
Capcom Production Studio 6,51.0,4.03,2.48,1,Chaos Legion,Chaos Legion
Little Rock Games,57.0,4.17,2.22,1,To The Rescue!,To The Rescue!
Apeiron,41.0,3.52,2.2,1,Brigade E5: New Jagged Union,Brigade E5: New Jagged Union
Phantomery Interactive,63.0,4.4,2.2,1,Outcry,Outcry
Winky Soft,62.0,4.33,2.12,1,Yu-Gi-Oh! Capsule Monster Coliseum,Yu-Gi-Oh! Capsule Monster Coliseum
Disney Interactive,59.0,4.2,2.1,1,Disney's Aladdin,Disney's Aladdin
Psychose Interactive,72.0,4.71,2.08,1,Forgotten Memories: Remastered Edition,Forgotten Memories: Remastered Edition
Digital Spray Studios,34.0,3.18,2.05,1,You Are Empty,You Are Empty
Origin Systems,59.0,4.17,2.02,1,Ultima Online,Ultima Online
Frog Software,60.0,4.2,2.0,1,King's Field: The Ancient City,King's Field: The Ancient City
Shirogumi,59.0,4.15,1.98,1,Rule of Rose,Rule of Rose
Grumpyface Studios,54.0,3.9,1.85,1,Steven Universe: Save the Light,Steven Universe: Save the Light
Fox Interactive,54.0,3.9,1.85,1,World's scariest police chases,World's scariest police chases
S-NEO,62.0,4.19,1.78,1,Vanguard Bandits,Vanguard Bandits
Code Mystics,54.0,3.85,1.72,1,Dragon's Lair,Dragon's Lair
CFK CO,58.0,4.0,1.7,1,Princess Maker 3: Fairy Tales Come True,Princess Maker 3: Fairy Tales Come True
Mucky Foot Productions,52.0,3.76,1.7,1,Urban Chaos,Urban Chaos
Irem,64.5,4.25,1.68,2,Raw Danger!,Disaster Report
Sir-Tech Software,64.0,4.22,1.65,1,Jagged Alliance 2: Unfinished Business,Jagged Alliance 2: Unfinished Business
RLR Training,45.0,3.45,1.63,1,Super Seducer 2: Advanced Seduction Tactics,Super Seducer 2: Advanced Seduction Tactics
BANDAI NAMCO Entertainment Europe,53.0,3.76,1.6,1,Very Little Nightmares,Very Little Nightmares
K2,52.0,3.72,1.59,2,Tenchu Z,Valhalla Knights 3
Bonzai Games,55.0,3.83,1.58,1,Shadow Fight 2,Shadow Fight 2
Momentum Digital Media Technologies,66.0,4.27,1.57,1,Culpa Innata,Culpa Innata
DigiFX Interactive,53.0,3.73,1.52,1,Harvester,Harvester
Romstar,60.0,4.0,1.5,1,Snow Bros. Nick & Tom,Snow Bros. Nick & Tom
Digital Anvil,78.0,4.71,1.48,1,Starlancer,Starlancer
Killmonday Games,63.5,4.11,1.42,2,Little Misfortune,Fran Bow
Red Entertainment,68.0,4.29,1.42,1,Nightshade (2016),Nightshade (2016)
Crazy Games,61.0,4.0,1.4,1,Illbleed,Illbleed
Devespresso Games,69.0,4.29,1.32,1,The Coma: Cutting Class,The Coma: Cutting Class
BioWare Montreal,60.0,3.93,1.32,1,Mass Effect 3: Omega,Mass Effect 3: Omega
Konami Computer Entertainment Osaka,67.0,4.2,1.3,1,Mystical Ninja Starring Goemon (1997),Mystical Ninja Starring Goemon (1997)
Steel Crate Games,67.0,4.2,1.3,1,Keep Talking and Nobody Explodes,Keep Talking and Nobody Explodes
