game_name,genre_name,developer_name,year,metacritic,rating,discrepancy_score,type,reason
The Corporate Machine,Strategy,Stardock Entertainment,2015,80,1.0,-8.0,overhyped,overhyped_case
Tadpole Treble,Action,BitFinity,2016,90,1.8,-6.92,overhyped,overhyped_case
Guncraft,Action,Exato Games Studio,2013,73,1.3,-6.47,overhyped,overhyped_case
Uurnog Uurnlimited,Action,Raw Fury,2017,74,1.5,-6.25,overhyped,overhyped_case
Weird Worlds: Return to Infinite Space,Adventure,Digital Eel,2013,79,1.7,-6.2,overhyped,overhyped_case
Chronos: Before the Ashes,Action,THQ Nordic,2020,68,2.9,-1.95,polarizing,polarizing_case
Aegis Defenders,Action,Humble Bundle,2018,76,2.5,-3.78,polarizing,polarizing_case
Serious Sam: Kamikaze Attack!,Action,Devolver Digital,2011,67,2.5,-3.05,polarizing,polarizing_case
Mirage: Arcane Warfare,Action,Torn Banner Studios,2017,74,2.2,-4.47,polarizing,polarizing_case
Okhlos: Omega,Action,Coffee Powered Machine,2016,69,3.1,-1.62,polarizing,polarizing_case
Kyn,Action,Tangrin Entertainment,2015,58,3.0,-0.8,consensus,consensus_case
Fire Emblem: The Sacred Stones,Strategy,Intelligent Systems,2004,85,4.3,-0.35,consensus,consensus_case
Captain Toad: Treasure Tracker,Puzzle,Nintendo,2014,81,4.1,-0.35,consensus,consensus_case
Divinity 2: The Dragon Knight Saga,Action,Larian Studios,2010,77,3.5,-1.4,consensus,consensus_case
Chili Con Carnage,Action,Deadline Games,2007,74,3.4,-1.3,consensus,consensus_case
Crime Life: Gang Wars,Action,Hothouse Creations,2005,30,4.2,4.92,hidden_gem,hidden_gem_case
Myst,Adventure,Cyan Worlds,1993,23,3.9,4.92,hidden_gem,hidden_gem_case
Batman Beyond: Return of the Joker,Action,KEMCO,2000,24,3.6,4.05,hidden_gem,hidden_gem_case
Earthworm Jim 2,Action,Shiny Entertainment,1995,45,4.3,3.67,hidden_gem,hidden_gem_case
Duke Nukem: Land of the Babes,Action,3D Realms,2000,37,3.9,3.55,hidden_gem,hidden_gem_case
